Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence (%),23.7,,,23,24.5,7387496,,,
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence (%),27.1,,,25.2,29.1,2123628,,,
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence (%),29.5,,,27.8,31.3,3316977,,,
2018,US,"United States, DC & Territories",Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence (%),26.4,,,24.1,28.9,1063297,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence (%),32.2,,,28,36.6,197113,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence (%),36,,,29.5,43.1,97023,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence (%),,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,,
2018,AL,Alabama,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence (%),42.8,,,30.2,56.5,17173,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence (%),26.2,,,19.9,33.8,18966,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence (%),,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence (%),,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,,
2018,AK,Alaska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence (%),19.3,,,12.3,29,8717,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence (%),20.4,,,15.7,26,135911,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence (%),,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence (%),31.2,,,23.9,39.5,107329,,,
2018,AZ,Arizona,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence (%),19.8,,,12.2,30.6,17086,,,
2018,AR,Arkansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence (%),29.4,,,24.5,34.9,123041,,,
2018,AR,Arkansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence (%),26.5,,,17,38.7,23288,,,
2018,AR,Arkansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence (%),,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,,
2018,AR,Arkansas,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence (%),33.7,,,21.8,48,11352,,,
2018,CA,California,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence (%),22.2,,,17.8,27.5,396241,,,
2018,CA,California,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence (%),13.2,,,8,21,70167,,,
2018,CA,California,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence (%),25.9,,,22.7,29.3,676781,,,
2018,CA,California,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence (%),24.9,,,18.1,33.2,200077,,,
2018,CO,Colorado,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence (%),21,,,17.5,25,90009,,,
2018,CO,Colorado,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence (%),35.3,,,22.2,51.1,12298,,,
2018,CO,Colorado,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence (%),31.9,,,25.8,38.8,45337,,,
2018,CO,Colorado,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence (%),21.6,,,13.6,32.7,10049,,,
2018,CT,Connecticut,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence (%),14.9,,,11.6,18.9,44887,,,
2018,CT,Connecticut,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence (%),22.4,,,14.2,33.5,13586,,,
2018,CT,Connecticut,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence (%),23.7,,,17.9,30.6,28917,,,
2018,CT,Connecticut,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence (%),17.2,,,9.8,28.5,4938,,,
2018,DE,Delaware,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence (%),18.6,,,14.6,23.5,20458,,,
2018,DE,Delaware,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence (%),17.3,,,10.5,27,5959,,,
2018,DE,Delaware,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence (%),27.8,,,18.9,38.7,3938,,,
2018,DE,Delaware,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence (%),15.9,,,9.1,26.3,1124,,,
2018,DC,District of Columbia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence (%),,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,,
2018,DC,District of Columbia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence (%),17,,,11.9,23.6,9972,,,
2018,DC,District of Columbia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence (%),,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,,
2018,DC,District of Columbia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence (%),,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,,
2018,FL,Florida,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence (%),30.1,,,26,34.6,588077,,,
2018,FL,Florida,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence (%),45.5,,,36.3,54.9,284564,,,
2018,FL,Florida,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence (%),31.7,,,24.6,39.7,357112,,,
2018,FL,Florida,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence (%),39.8,,,26.4,55,48664,,,
2018,GA,Georgia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence (%),33.4,,,29.6,37.3,341032,,,
2018,GA,Georgia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence (%),34.8,,,29.4,40.6,196060,,,
2018,GA,Georgia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence (%),48.2,,,40.1,56.3,74970,,,
2018,GA,Georgia,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence (%),37.4,,,25.6,51,27054,,,
2018,HI,Hawaii,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence (%),12.1,,,7.8,18.3,6354,,,
2018,HI,Hawaii,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence (%),,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,,
2018,HI,Hawaii,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence (%),16.7,,,9,28.9,4282,,,
2018,HI,Hawaii,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence (%),16.7,,,13,21.2,20955,,,
2018,ID,Idaho,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence (%),27.8,,,22.2,34.1,54116,,,
2018,ID,Idaho,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence (%),,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,,
2018,ID,Idaho,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence (%),22,,,12.6,35.5,7198,,,
2018,ID,Idaho,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence (%),59.3,,,41.9,74.7,7200,,,
2018,IL,Illinois,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence (%),21.8,,,16.9,27.5,201791,,,
2018,IL,Illinois,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence (%),34.4,,,24.9,45.2,115676,,,
2018,IL,Illinois,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence (%),27.9,,,21.3,35.5,110349,,,
2018,IL,Illinois,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence (%),,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,,
2018,IN,Indiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence (%),24.3,,,20.6,28.4,204387,,,
2018,IN,Indiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence (%),22.7,,,15,32.8,28291,,,
2018,IN,Indiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence (%),35.3,,,23.8,48.7,25947,,,
2018,IN,Indiana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence (%),36.1,,,23.6,50.9,15969,,,
2018,IA,Iowa,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence (%),15.1,,,12.6,18,53604,,,
2018,IA,Iowa,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence (%),,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,,
2018,IA,Iowa,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence (%),23.8,,,15.6,34.4,6247,,,
